Beneath & Before, LLC
November 2017 Sales and Tax Data
2014.77	141.03
1421.13	99.48
1733.32	121.33
2475.08	173.26
1075.88	75.31
1721.07	120.47
258.64	18.1
2586.81	181.08
2440.27	170.82
1237.65	86.64
1858.67	130.11
2062.34	144.36
1787.39	125.12
1475.47	103.28
2258.45	158.09
950.31	66.52
1704.27	119.3
2645.56	185.19
2419.1	169.34
1898.76	132.91
2207.08	154.5
1477.81	103.45
1343.66	94.06
2985.02	208.95
1613.01	112.91
1614.78	113.03
2418.82	169.32
1411.2	98.78
1422.43	99.57
1988.34	139.18
